Timestamp;YEAR;FRUITS_VEGGIES;DAILY_STRESS;PLACES_VISITED;CORE_CIRCLE;SUPPORTING_OTHERS;SOCIAL_NETWORK;ACHIEVEMENT;DONATION;BMI_RANGE;TODO_COMPLETED;FLOW;DAILY_STEPS;LIVE_VISION;SLEEP_HOURS;LOST_VACATION;DAILY_SHOUTING;SUFFICIENT_INCOME;PERSONAL_AWARDS;TIME_FOR_PASSION;WEEKLY_MEDITATION;AGE;GENDER;WORK_LIFE_BALANCE_SCORE
01/08/2016;2016;4;3;10;10;10;10;5;5;1;6;2;9;1;8;0;1;1;8;4;10;36 to 50;Female;724.4
01/08/2016;2016;5;5;2;5;4;0;1;2;2;4;2;6;0;6;0;1;2;5;0;10;51 or more;Male;628.2
01/09/2016;2016;3;1;10;10;10;8;4;3;1;8;2;5;2;8;2;3;2;6;2;10;36 to 50;Female;716.8
01/09/2016;2016;2;2;4;5;1;6;0;0;2;4;1;3;0;8;0;2;2;5;3;2;36 to 50;Female;614.4
01/09/2016;2016;5;5;4;6;2;3;2;5;2;4;2;10;1;6;0;7;1;3;0;7;36 to 50;Female;620.5
01/09/2016;2016;5;5;4;6;2;3;2;5;2;4;2;10;1;6;0;7;1;3;0;7;36 to 50;Female;620.5
01/09/2016;2016;3;1;5;5;3;1;0;3;2;4;2;1;0;8;0;3;2;10;2;7;21 to 35;Female;639.5
01/10/2016;2016;1;2;5;5;4;6;3;1;2;3;7;2;1;5;0;0;2;0;2;8;51 or more;Female;632.3
01/10/2016;2016;4;3;4;4;10;10;7;5;2;9;9;5;10;8;5;0;2;10;10;10;51 or more;Male;738.9
01/10/2016;2016;4;3;4;4;10;10;7;5;2;9;9;5;10;8;5;0;2;10;10;10;51 or more;Male;738.9
01/10/2016;2016;5;3;1;3;3;10;0;1;1;7;3;2;1;6;5;3;2;7;0;4;36 to 50;Female;639.3
01/10/2016;2016;3;0;8;6;10;5;10;4;1;7;2;10;5;10;0;0;2;7;4;10;51 or more;Male;748.8
01/10/2016;2016;3;0;4;10;10;10;3;5;1;4;3;8;2;7;0;1;2;4;3;10;36 to 50;Female;722.3
01/10/2016;2016;1;1;10;5;4;5;5;2;1;7;4;5;1;6;8;0;2;5;1;6;21 to 35;Male;665.4
01/10/2016;2016;2;2;2;4;4;2;0;4;2;7;1;2;1;5;0;3;2;8;0;8;51 or more;Female;628.9
01/10/2016;2016;4;1;6;6;10;3;8;5;2;8;2;8;1;7;2;0;2;10;4;10;36 to 50;Female;712.1
01/10/2016;2016;5;2;10;3;1;4;10;2;1;8;1;3;4;8;1;1;2;5;3;7;21 to 35;Male;690.9
01/10/2016;2016;3;5;1;5;8;10;7;4;2;7;7;2;9;6;10;8;2;3;5;0;36 to 50;Female;641
01/10/2016;2016;4;3;10;9;5;10;3;3;1;6;1;6;1;7;0;1;2;9;9;10;51 or more;Female;721.9
01/10/2016;2016;4;1;5;2;2;3;2;2;1;7;1;6;0;8;0;4;2;0;1;2;36 to 50;Female;640.5
01/11/2016;2016;3;4;2;2;1;10;1;2;1;5;3;3;2;8;2;3;2;4;5;3;36 to 50;Female;641.6
01/11/2016;2016;3;3;2;10;5;10;9;4;2;8;3;7;1;6;0;1;1;10;1;7;36 to 50;Female;676
01/11/2016;2016;5;2;4;10;10;4;10;5;1;7;4;6;2;8;0;0;1;10;5;6;51 or more;Female;720.4
01/11/2016;2016;5;4;5;4;2;6;1;1;1;5;1;5;0;6;0;10;1;2;0;10;21 to 35;Female;616.1
01/11/2016;2016;4;2;8;5;4;5;3;3;1;5;6;6;1;5;0;3;2;4;3;6;51 or more;Female;679
01/11/2016;2016;4;2;10;7;7;9;3;3;1;5;2;7;1;7;0;0;2;7;3;10;51 or more;Female;713.6
01/11/2016;2016;1;0;5;4;1;10;1;3;2;7;3;7;4;7;0;1;1;5;1;5;21 to 35;Male;643.9
01/11/2016;2016;1;1;5;10;2;5;7;2;1;8;2;5;0;7;0;2;2;5;2;8;21 to 35;Male;679.2
01/12/2016;2016;0;3;1;2;9;10;0;0;1;0;3;2;0;9;10;3;2;3;1;1;36 to 50;Male;600.8
01/12/2016;2016;2;2;2;1;0;1;0;0;1;1;0;1;0;9;0;4;1;1;1;10;21 to 35;Female;585.3
01/12/2016;2016;1;3;4;5;7;10;4;4;2;5;7;4;5;5;0;5;2;4;7;7;21 to 35;Male;670.1
01/12/2016;2016;3;2;6;2;7;8;4;3;1;8;10;6;3;8;0;2;2;8;1;4;36 to 50;Female;701.7
01/12/2016;2016;3;5;8;7;10;4;2;1;1;7;1;5;4;8;0;2;2;10;2;2;21 to 35;Female;676
01/12/2016;2016;3;2;8;10;10;10;9;5;2;7;6;8;10;8;0;1;2;10;2;5;36 to 50;Male;741.2
02/01/2016;2016;1;5;3;3;0;3;6;1;2;3;5;7;3;10;10;1;1;9;0;3;21 to 35;Female;595.2
02/01/2016;2016;1;3;1;1;4;4;3;2;1;1;2;2;3;9;3;8;1;3;1;4;36 to 50;Female;592.3
02/01/2016;2016;4;3;4;3;3;5;1;5;1;3;2;4;9;6;1;0;2;3;2;4;51 or more;Female;665.2
02/01/2016;2016;3;1;8;3;5;4;3;3;1;3;5;6;6;7;0;2;2;6;5;7;21 to 35;Female;693
02/01/2016;2016;2;2;10;10;7;4;5;4;2;8;7;2;2;7;0;3;2;5;10;10;21 to 35;Female;702.4
02/01/2016;2016;4;3;4;3;5;2;3;0;1;3;3;5;2;8;4;0;1;5;6;6;21 to 35;Male;636.9
02/01/2016;2016;1;5;3;3;4;4;8;5;1;1;2;8;2;10;3;9;2;5;5;5;Less than 20;Female;649.8
02/01/2016;2016;1;5;3;3;4;4;8;5;1;1;2;8;2;10;3;9;2;5;5;5;Less than 20;Female;649.8
02/01/2016;2016;1;5;0;5;5;8;2;0;1;7;2;3;2;7;0;3;1;6;3;4;Less than 20;Female;619.3
02/01/2016;2016;2;2;5;5;8;4;10;5;2;9;8;4;6;8;0;0;2;10;5;7;21 to 35;Female;714.9
02/01/2016;2016;1;2;3;5;6;10;6;5;1;3;3;3;2;9;2;0;2;4;1;4;Less than 20;Male;674.1
02/01/2016;2016;2;3;2;3;3;10;0;1;1;8;1;10;5;9;0;1;2;1;2;10;51 or more;Female;672.1
02/01/2016;2016;1;2;4;5;6;10;4;2;1;2;0;10;3;6;10;1;2;4;1;5;51 or more;Female;651.1
02/02/2016;2016;2;4;1;2;2;2;2;0;2;8;8;2;1;9;0;1;1;0;0;5;36 to 50;Female;592.3
02/02/2016;2016;4;3;1;2;10;10;1;1;2;4;1;10;5;5;0;1;1;2;6;5;21 to 35;Male;640.7
02/02/2016;2016;5;5;10;10;10;10;4;2;2;6;4;6;10;8;10;4;1;10;4;7;36 to 50;Female;681.3
02/02/2016;2016;5;5;10;4;0;8;7;1;1;9;2;5;10;8;4;7;2;5;3;10;Less than 20;Female;686.2
02/02/2016;2016;4;1;4;3;7;5;10;5;1;9;3;5;4;5;0;1;2;10;3;5;36 to 50;Female;712.8
02/02/2016;2016;4;3;10;4;10;2;7;4;1;8;8;7;2;9;6;2;2;10;5;10;51 or more;Female;724.2
02/02/2016;2016;1;5;0;6;2;10;5;5;2;2;2;1;0;3;10;6;1;3;0;10;21 to 35;Male;579
02/02/2016;2016;2;3;10;10;10;10;8;5;1;8;10;5;10;8;0;1;2;10;5;5;36 to 50;Male;761
02/02/2016;2016;3;2;6;4;4;4;7;2;1;6;3;10;5;6;10;4;2;6;2;2;51 or more;Female;661.3
02/02/2016;2016;1;1;6;6;10;6;3;5;1;10;2;9;3;9;0;1;1;10;4;10;Less than 20;Female;712.7
02/02/2016;2016;1;3;2;3;2;5;3;1;1;2;2;2;0;7;10;2;2;2;1;7;21 to 35;Male;603.8
02/02/2016;2016;3;4;0;4;10;5;0;0;2;7;2;10;4;7;0;10;2;3;1;3;21 to 35;Female;622.4
02/02/2016;2016;3;3;5;5;5;10;1;5;2;7;5;3;10;7;10;1;2;10;1;2;36 to 50;Male;665.2
02/03/2016;2016;1;1;10;5;4;2;3;0;1;7;2;10;0;8;0;2;1;5;3;10;36 to 50;Male;661.7
02/03/2016;2016;3;4;0;0;2;1;2;3;1;0;4;1;10;5;0;1;1;0;4;3;21 to 35;Male;604.9
02/03/2016;2016;3;4;0;0;2;1;2;3;1;0;4;1;10;5;0;1;1;0;4;3;21 to 35;Male;604.9
02/03/2016;2016;2;2;7;3;4;5;8;5;1;8;3;10;2;6;6;1;2;5;6;10;21 to 35;Male;700.4
02/03/2016;2016;5;4;2;10;10;10;4;5;1;8;6;10;0;7;0;0;2;10;10;10;36 to 50;Male;749.9
02/03/2016;2016;1;2;4;5;5;7;4;1;1;5;1;3;5;7;2;5;2;2;4;7;21 to 35;Male;651.6
02/03/2016;2016;2;3;10;7;10;10;5;3;1;8;2;4;7;8;0;2;2;6;7;7;51 or more;Female;721.7
02/03/2016;2016;1;0;10;7;10;2;5;5;2;8;8;8;1;8;0;3;2;10;4;10;51 or more;Female;717.4
02/03/2016;2016;5;2;10;5;6;5;6;5;2;6;1;8;2;6;0;0;1;7;4;3;51 or more;Female;674.5
02/03/2016;2016;1;3;10;1;1;3;3;3;1;7;1;2;0;7;0;4;1;4;2;10;21 to 35;Male;629.3
02/04/2016;2016;4;2;1;3;1;2;1;1;2;1;5;1;2;9;0;3;2;3;6;7;51 or more;Female;622.7
02/04/2016;2016;3;4;10;6;4;3;8;0;1;9;2;5;2;7;0;4;2;1;2;10;21 to 35;Female;670.7
02/04/2016;2016;3;1;5;6;6;6;8;0;1;8;4;6;9;8;1;1;2;8;5;7;36 to 50;Female;713.6
02/04/2016;2016;4;3;5;4;10;8;2;5;2;8;4;3;5;8;0;7;2;4;4;5;Less than 20;Female;673.9
02/04/2016;2016;4;2;4;10;10;10;7;1;1;10;5;8;10;7;0;3;2;7;6;8;Less than 20;Female;742.7
02/04/2016;2016;3;2;7;6;10;10;9;5;2;7;10;8;10;6;1;2;1;4;10;7;36 to 50;Female;722.1
02/04/2016;2016;0;1;3;1;5;3;7;0;1;8;5;3;5;8;4;3;1;7;8;10;21 to 35;Male;655.2
02/04/2016;2016;5;3;10;4;2;10;10;5;2;10;5;10;10;6;0;6;2;10;3;10;51 or more;Female;731
02/04/2016;2016;5;3;10;4;2;10;10;5;2;10;5;10;10;6;0;6;2;10;3;10;51 or more;Female;731
02/04/2016;2016;5;3;10;4;2;10;10;5;2;10;5;10;10;6;0;6;2;10;3;10;51 or more;Female;731
02/04/2016;2016;5;3;10;4;2;10;10;5;2;10;5;10;10;6;0;6;2;10;3;10;51 or more;Female;731
02/04/2016;2016;2;3;5;6;6;3;4;5;2;7;5;3;0;7;0;3;1;5;5;6;21 to 35;Male;643.1
02/05/2016;2016;4;1;4;7;10;7;9;1;1;6;6;3;5;6;4;1;1;6;8;10;36 to 50;Female;699
02/05/2016;2016;1;2;10;3;1;2;0;4;1;5;2;6;1;8;4;2;2;4;1;5;21 to 35;Female;645.6
02/05/2016;2016;1;4;3;3;5;8;3;1;2;4;2;2;5;7;7;3;1;2;4;5;21 to 35;Female;595.3
02/05/2016;2016;2;2;10;9;10;3;7;3;1;5;5;9;10;7;0;3;1;7;3;8;21 to 35;Female;710.6
02/05/2016;2016;1;2;2;2;1;4;1;2;1;6;1;8;1;7;0;0;2;0;1;5;36 to 50;Female;633.9
02/06/2016;2016;5;1;8;3;3;10;0;0;1;5;0;3;10;6;10;0;2;2;1;2;21 to 35;Female;649.7
02/06/2016;2016;4;0;10;10;10;5;3;5;2;5;1;10;10;6;0;3;2;5;1;1;51 or more;Male;703.8
02/06/2016;2016;3;4;6;9;5;4;3;2;1;4;2;4;2;7;7;1;2;4;1;9;21 to 35;Female;655.2
02/06/2016;2016;2;2;3;4;6;5;4;5;2;7;6;9;3;6;0;2;2;8;1;3;36 to 50;Female;671.3
02/06/2016;2016;1;1;4;2;7;5;10;1;1;7;1;8;1;4;3;3;2;5;5;8;21 to 35;Male;670.7
02/06/2016;2016;3;2;4;4;6;5;6;5;1;8;8;10;5;9;0;7;2;5;8;7;36 to 50;Female;718
02/06/2016;2016;3;2;10;4;10;3;5;0;1;2;0;10;1;8;0;1;2;8;8;10;21 to 35;Male;700.8
02/06/2016;2016;3;2;10;4;10;3;5;0;1;2;0;10;1;8;0;1;2;8;8;10;21 to 35;Male;700.8
02/06/2016;2016;3;4;6;3;3;4;2;2;1;4;3;5;1;7;4;7;1;6;2;2;36 to 50;Female;612.9
02/07/2016;2016;1;0;4;2;0;6;4;0;1;7;4;3;1;8;0;0;2;5;4;10;21 to 35;Male;665.4
02/07/2016;2016;5;2;2;3;6;2;3;1;1;5;2;2;8;10;1;2;1;1;2;7;36 to 50;Male;645.2
02/07/2016;2016;1;5;0;8;4;4;1;5;2;5;2;10;0;6;10;4;1;10;5;10;36 to 50;Female;620.5
02/07/2016;2016;5;3;0;0;10;0;0;5;1;0;0;1;0;8;10;7;1;0;0;10;21 to 35;Male;590.2
02/07/2016;2016;3;2;10;5;10;6;10;5;2;8;10;1;10;4;0;2;1;10;9;6;51 or more;Female;713.5
02/07/2016;2016;0;4;10;5;10;10;9;0;2;9;1;5;1;6;10;4;1;10;1;4;36 to 50;Male;629.7
02/07/2016;2016;3;2;4;0;5;3;6;3;2;5;3;5;0;6;0;0;2;3;3;5;51 or more;Female;641.6
02/07/2016;2016;5;2;10;10;5;3;5;5;2;9;4;5;5;8;0;1;2;7;3;10;51 or more;Female;715.1
02/08/2016;2016;1;3;5;3;10;10;10;5;1;7;5;10;10;6;0;2;2;10;5;10;21 to 35;Male;742.9
02/08/2016;2016;2;5;4;10;10;10;10;5;1;7;7;8;10;7;10;8;2;10;7;8;36 to 50;Female;724
02/08/2016;2016;4;2;5;8;10;10;1;5;1;3;3;10;5;7;0;5;2;5;4;3;36 to 50;Female;705.7
02/08/2016;2016;3;2;1;3;4;2;4;2;1;7;2;3;3;6;0;1;2;10;1;5;21 to 35;Male;658.2
02/08/2016;2016;1;3;0;6;0;3;0;0;2;1;1;2;0;7;3;0;2;0;0;8;21 to 35;Male;581.7
02/08/2016;2016;4;0;10;5;4;10;0;4;1;9;0;8;1;8;5;0;1;3;4;10;Less than 20;Male;688.5
02/08/2016;2016;1;4;0;3;2;3;2;1;2;3;4;5;1;8;10;0;1;3;3;10;51 or more;Male;585.9
02/08/2016;2016;2;2;4;3;2;3;4;5;1;5;1;1;1;9;0;0;2;9;2;2;Less than 20;Female;658.4
02/08/2016;2016;3;1;7;1;1;7;8;5;1;7;1;10;3;7;0;0;2;4;2;10;21 to 35;Male;704
02/08/2016;2016;5;4;4;2;0;3;1;5;1;8;0;5;0;6;10;2;2;4;3;10;36 to 50;Female;641.6
02/08/2016;2016;4;4;4;4;8;10;2;2;1;4;5;6;3;9;0;3;2;2;5;4;21 to 35;Female;678.1
02/09/2016;2016;4;0;5;4;4;3;4;5;1;8;2;8;5;10;0;1;2;6;2;10;51 or more;Male;714.4
02/09/2016;2016;3;4;5;7;3;2;1;0;2;1;1;2;1;6;5;3;1;4;2;7;21 to 35;Female;583.2
02/09/2016;2016;5;1;10;10;6;2;5;2;1;8;3;10;1;9;0;1;1;7;4;10;36 to 50;Female;711.2
02/09/2016;2016;2;3;2;7;4;10;2;2;1;2;2;3;3;6;5;1;2;3;1;4;51 or more;Female;639.5
02/09/2016;2016;2;2;10;7;10;6;10;2;2;10;8;6;10;9;0;2;2;7;8;8;51 or more;Female;735.9
02/09/2016;2016;1;2;2;3;3;7;2;4;1;1;1;1;1;7;1;4;2;10;0;3;36 to 50;Male;634.2
02/10/2016;2016;3;5;1;3;10;10;3;3;1;3;2;8;1;5;0;5;1;2;3;5;36 to 50;Female;636.9
02/10/2016;2016;3;4;10;2;4;10;1;5;1;3;3;6;1;6;0;2;2;3;0;3;21 to 35;Female;662.2
02/10/2016;2016;5;1;1;1;1;1;2;1;1;7;2;2;10;8;2;3;2;2;3;2;21 to 35;Female;643.1
02/10/2016;2016;1;2;4;6;2;6;3;1;2;7;3;5;1;7;10;2;2;6;2;7;21 to 35;Male;626.5
02/10/2016;2016;2;3;4;2;1;4;1;0;1;2;3;4;1;9;6;1;1;2;2;10;21 to 35;Male;608
02/10/2016;2016;5;2;3;7;7;10;10;3;1;4;1;6;10;7;0;5;2;10;2;10;36 to 50;Male;723.6
02/11/2016;2016;2;5;0;2;2;4;0;0;1;3;0;5;1;10;10;10;1;2;2;8;21 to 35;Male;569.3
02/11/2016;2016;4;4;7;8;7;7;6;4;1;6;8;5;3;6;7;7;2;7;7;6;21 to 35;Male;694.3
02/11/2016;2016;5;3;3;5;5;10;3;5;1;3;1;10;3;7;0;6;2;7;1;7;36 to 50;Female;688.7
02/12/2016;2016;5;4;10;3;4;5;7;2;2;7;3;5;5;9;6;3;2;7;4;5;36 to 50;Female;667.7
02/12/2016;2016;5;4;10;4;4;4;7;2;2;7;3;5;2;10;6;3;2;7;4;6;36 to 50;Female;666.2
02/12/2016;2016;2;5;2;1;2;0;1;5;1;3;1;5;2;7;9;1;1;0;1;1;21 to 35;Male;580.6
03/01/2016;2016;3;1;10;5;10;10;7;5;1;10;4;10;3;7;0;0;1;10;6;10;21 to 35;Female;744.8
03/01/2016;2016;2;1;9;10;10;10;5;5;1;9;4;5;5;8;0;3;2;9;10;10;Less than 20;Female;755.9
03/01/2016;2016;5;3;8;8;10;10;4;5;1;7;1;10;3;6;5;0;2;2;2;10;21 to 35;Female;717.4
03/01/2016;2016;3;2;2;3;9;10;5;5;1;7;5;2;6;5;5;3;2;4;1;3;21 to 35;Female;674.8
03/01/2016;2016;3;3;5;10;10;10;10;1;1;5;6;4;5;6;0;1;2;6;0;10;51 or more;Female;712.8
03/01/2016;2016;1;5;2;1;1;2;0;0;2;2;0;1;0;10;0;7;1;4;0;10;51 or more;Male;560
03/01/2016;2016;3;2;2;4;5;10;6;5;1;7;4;3;10;7;0;1;2;5;1;6;51 or more;Male;700.9
03/01/2016;2016;4;3;6;4;10;10;4;5;1;6;1;4;4;6;0;1;2;8;3;5;36 to 50;Female;702.6
03/01/2016;2016;2;5;2;4;2;4;3;4;1;3;0;4;0;7;4;6;2;6;0;2;21 to 35;Female;612.7
03/01/2016;2016;2;3;5;5;3;5;2;4;1;7;2;4;1;8;4;1;2;3;3;10;51 or more;Male;663.9
03/01/2016;2016;5;1;10;8;10;10;2;5;2;8;4;6;5;6;0;3;2;10;4;10;36 to 50;Male;730.2
03/01/2016;2016;2;4;10;6;2;8;2;1;1;8;3;5;2;8;0;1;2;7;1;2;21 to 35;Male;667.5
03/02/2016;2016;5;2;10;10;4;6;4;5;1;7;2;4;5;8;0;4;2;10;3;3;21 to 35;Female;713.2
03/02/2016;2016;5;4;3;3;4;5;6;2;1;7;5;9;1;9;0;5;1;7;4;8;21 to 35;Female;670.2
03/02/2016;2016;0;2;5;2;2;6;5;1;1;4;4;7;2;6;8;0;1;5;7;7;Less than 20;Female;635.2
03/02/2016;2016;5;5;2;5;7;7;2;2;2;1;2;5;0;5;0;1;2;2;5;10;51 or more;Female;641.4
03/02/2016;2016;3;2;5;10;5;10;10;1;2;5;3;8;10;8;8;6;2;5;2;3;Less than 20;Female;673.2
